"cellType","ensemblID","geneSet","symbol"
"neutrophil","ENSG00000086300","neut4","SNX10"
"neutrophil","ENSG00000086589","neut6","RBM22"
"neutrophil","ENSG00000086730","neut3","LAT2"
"neutrophil","ENSG00000087074","neut3","PPP1R15A"
"neutrophil","ENSG00000087086","neut3","FTL"
"neutrophil","ENSG00000087157","neut1","PGS1"
"neutrophil","ENSG00000087206","neut1","UIMC1"
"neutrophil","ENSG00000087266","neut3","SH3BP2"
"neutrophil","ENSG00000087301","neut4","TXNDC16"
"neutrophil","ENSG00000087502","neut2","ERGIC2"
"neutrophil","ENSG00000087903","neut1","RFX2"
"neutrophil","ENSG00000088930","neut2","XRN2"
"neutrophil","ENSG00000088970","neut1","KIZ"
"neutrophil","ENSG00000089159","neut1","PXN"
"neutrophil","ENSG00000089289","neut3","IGBP1"
"neutrophil","ENSG00000089351","neut1","GRAMD1A"
"neutrophil","ENSG00000089639","neut1","GMIP"
"neutrophil","ENSG00000089818","neut4","NECAP1"
"neutrophil","ENSG00000090061","neut4","CCNK"
"neutrophil","ENSG00000090238","neut1","YPEL3"
"neutrophil","ENSG00000090316","neut1","MAEA"
"neutrophil","ENSG00000090339","neut3","ICAM1"
"neutrophil","ENSG00000090376","neut5","IRAK3"
"neutrophil","ENSG00000090487","neut6","SPG21"
"neutrophil","ENSG00000091039","neut2","OSBPL8"
"neutrophil","ENSG00000091073","neut3","DTX2"
"neutrophil","ENSG00000091106","neut2","NLRC4"
"neutrophil","ENSG00000091317","neut2","CMTM6"
"neutrophil","ENSG00000091436","neut4",""
"neutrophil","ENSG00000091592","neut1","NLRP1"
"neutrophil","ENSG00000092010","neut3","PSME1"
"neutrophil","ENSG00000092036","neut2","HAUS4"
"neutrophil","ENSG00000092199","neut4","HNRNPC"
"neutrophil","ENSG00000092203","neut1","TOX4"
"neutrophil","ENSG00000092330","neut3","TINF2"
"neutrophil","ENSG00000093134","neut1","VNN3"
"neutrophil","ENSG00000095370","neut1","SH2D3C"
"neutrophil","ENSG00000095787","neut4","WAC"
"neutrophil","ENSG00000095951","neut4","HIVEP1"
"neutrophil","ENSG00000096063","neut4","SRPK1"
"neutrophil","ENSG00000096746","neut6","HNRNPH3"
"neutrophil","ENSG00000097033","neut4","SH3GLB1"
"neutrophil","ENSG00000099308","neut1","MAST3"
"neutrophil","ENSG00000099860","neut3","GADD45B"
"neutrophil","ENSG00000099875","neut1","MKNK2"
"neutrophil","ENSG00000099985","neut1","OSM"
"neutrophil","ENSG00000099995","neut1","SF3A1"
"neutrophil","ENSG00000100024","neut3","UPB1"
"neutrophil","ENSG00000100031","neut3","GGT1"
"neutrophil","ENSG00000100055","neut1","CYTH4"
"neutrophil","ENSG00000100201","neut2","DDX17"
"neutrophil","ENSG00000100226","neut3","GTPBP1"
"neutrophil","ENSG00000100266","neut1","PACSIN2"
"neutrophil","ENSG00000100284","neut3","TOM1"
"neutrophil","ENSG00000100296","neut1","THOC5"
"neutrophil","ENSG00000100330","neut1","MTMR3"
"neutrophil","ENSG00000100365","neut1","NCF4"
"neutrophil","ENSG00000100368","neut2","CSF2RB"
"neutrophil","ENSG00000100422","neut1","CERK"
"neutrophil","ENSG00000100439","neut1","ABHD4"
"neutrophil","ENSG00000100461","neut1","RBM23"
"neutrophil","ENSG00000100505","neut2","TRIM9"
"neutrophil","ENSG00000100554","neut4","ATP6V1D"
"neutrophil","ENSG00000100647","neut1","SUSD6"
"neutrophil","ENSG00000100865","neut3","CINP"
"neutrophil","ENSG00000100897","neut3","DCAF11"
"neutrophil","ENSG00000100906","neut3","NFKBIA"
"neutrophil","ENSG00000100918","neut3","REC8"
"neutrophil","ENSG00000100938","neut1","GMPR2"
"neutrophil","ENSG00000100985","neut1","MMP9"
"neutrophil","ENSG00000101084","neut5","C20orf24"
"neutrophil","ENSG00000101104","neut1","PABPC1L"
"neutrophil","ENSG00000101109","neut2","STK4"
"neutrophil","ENSG00000101150","neut3","TPD52L2"
"neutrophil","ENSG00000101152","neut3","DNAJC5"
"neutrophil","ENSG00000101189","neut3","MRGBP"
"neutrophil","ENSG00000101190","neut4","TCFL5"
"neutrophil","ENSG00000101236","neut2","RNF24"
"neutrophil","ENSG00000101265","neut1","RASSF2"
"neutrophil","ENSG00000101290","neut5","CDS2"
"neutrophil","ENSG00000101307","neut1","SIRPB1"
"neutrophil","ENSG00000101336","neut3","HCK"
"neutrophil","ENSG00000101337","neut1","TM9SF4"
"neutrophil","ENSG00000101367","neut6","MAPRE1"
"neutrophil","ENSG00000101421","neut3","CHMP4B"
"neutrophil","ENSG00000101457","neut3","DNTTIP1"
"neutrophil","ENSG00000101460","neut3","MAP1LC3A"
"neutrophil","ENSG00000101474","neut1","APMAP"
"neutrophil","ENSG00000101493","neut1","ZNF516"
"neutrophil","ENSG00000101544","neut4","ADNP2"
"neutrophil","ENSG00000101558","neut2","VAPA"
"neutrophil","ENSG00000101596","neut2","SMCHD1"
"neutrophil","ENSG00000101654","neut4","RNMT"
"neutrophil","ENSG00000101745","neut4","ANKRD12"
"neutrophil","ENSG00000101849","neut1","TBL1X"
"neutrophil","ENSG00000101916","neut2","TLR8"
"neutrophil","ENSG00000101972","neut2","STAG2"
"neutrophil","ENSG00000102010","neut2","BMX"
"neutrophil","ENSG00000102096","neut3","PIM2"
"neutrophil","ENSG00000102119","neut3","EMD"
"neutrophil","ENSG00000102144","neut4","PGK1"
"neutrophil","ENSG00000102393","neut3","GLA"
"neutrophil","ENSG00000102445","neut1","RUBCNL"
"neutrophil","ENSG00000102524","neut5","TNFSF13B"
"neutrophil","ENSG00000102710","neut2","SUPT20H"
"neutrophil","ENSG00000102796","neut1","DHRS12"
"neutrophil","ENSG00000102858","neut1","MGRN1"
"neutrophil","ENSG00000102882","neut1","MAPK3"
"neutrophil","ENSG00000102921","neut5","N4BP1"
"neutrophil","ENSG00000103005","neut1","USB1"
"neutrophil","ENSG00000103154","neut1","NECAB2"
"neutrophil","ENSG00000103194","neut2","USP10"
"neutrophil","ENSG00000103196","neut1","CRISPLD2"
"neutrophil","ENSG00000103313","neut1","MEFV"
"neutrophil","ENSG00000103381","neut1","CPPED1"
"neutrophil","ENSG00000103490","neut1","PYCARD"
"neutrophil","ENSG00000103496","neut3","STX4"
"neutrophil","ENSG00000103502","neut1","CDIPT"
"neutrophil","ENSG00000103569","neut1","AQP9"
"neutrophil","ENSG00000104142","neut3","VPS18"
"neutrophil","ENSG00000104320","neut5","NBN"
"neutrophil","ENSG00000104324","neut1","CPQ"
"neutrophil","ENSG00000104365","neut1","IKBKB"
"neutrophil","ENSG00000104375","neut5","STK3"
"neutrophil","ENSG00000104412","neut5","EMC2"
"neutrophil","ENSG00000104419","neut3","NDRG1"
"neutrophil","ENSG00000104518","neut3","GSDMD"
"neutrophil","ENSG00000104529","neut3","EEF1D"
"neutrophil","ENSG00000104763","neut4","ASAH1"
"neutrophil","ENSG00000104765","neut4","BNIP3L"
"neutrophil","ENSG00000104825","neut3","NFKBIB"
"neutrophil","ENSG00000104856","neut3","RELB"
"neutrophil","ENSG00000104870","neut1","FCGRT"
"neutrophil","ENSG00000104894","neut3","CD37"
"neutrophil","ENSG00000104904","neut3","OAZ1"
"neutrophil","ENSG00000105053","neut3","VRK3"
"neutrophil","ENSG00000105287","neut3","PRKD2"
"neutrophil","ENSG00000105321","neut3","CCDC9"
"neutrophil","ENSG00000105327","neut3","BBC3"
"neutrophil","ENSG00000105339","neut1","DENND3"
"neutrophil","ENSG00000105352","neut1","CEACAM4"
"neutrophil","ENSG00000105483","neut2","CARD8"
"neutrophil","ENSG00000105501","neut1","SIGLEC5"
"neutrophil","ENSG00000105520","neut1","PLPPR2"
"neutrophil","ENSG00000105639","neut1","JAK3"
"neutrophil","ENSG00000105656","neut1","ELL"
"neutrophil","ENSG00000105700","neut1","KXD1"
"neutrophil","ENSG00000105701","neut1","FKBP8"
"neutrophil","ENSG00000105707","neut1","HPN"
"neutrophil","ENSG00000105711","neut1","SCN1B"
"neutrophil","ENSG00000105722","neut1","ERF"
"neutrophil","ENSG00000105723","neut3","GSK3A"
"neutrophil","ENSG00000105767","neut3","CADM4"
"neutrophil","ENSG00000105835","neut4","NAMPT"
"neutrophil","ENSG00000105856","neut4","HBP1"
"neutrophil","ENSG00000106012","neut1","IQCE"
"neutrophil","ENSG00000106245","neut6","BUD31"
"neutrophil","ENSG00000106348","neut1","IMPDH1"
"neutrophil","ENSG00000106948","neut1","AKNA"
"neutrophil","ENSG00000106952","neut3","TNFSF8"
"neutrophil","ENSG00000107099","neut2","DOCK8"
"neutrophil","ENSG00000107290","neut2","SETX"
"neutrophil","ENSG00000107331","neut1","ABCA2"
"neutrophil","ENSG00000107341","neut1","UBE2R2"
"neutrophil","ENSG00000107738","neut1","C10orf54"
"neutrophil","ENSG00000108061","neut2","SHOC2"
"neutrophil","ENSG00000108100","neut2","CCNY"
"neutrophil","ENSG00000108175","neut3","ZMIZ1"
"neutrophil","ENSG00000108179","neut3","PPIF"
"neutrophil","ENSG00000108244","neut2","KRT23"
"neutrophil","ENSG00000108349","neut1","CASC3"
"neutrophil","ENSG00000108406","neut4","DHX40"
"neutrophil","ENSG00000108424","neut5","KPNB1"
