libId,BAD_CYCLES,MEAN_READ_LENGTH,PCT_ADAPTER,PCT_CHIMERAS,PCT_PF_READS,PCT_PF_READS_ALIGNED,PCT_READS_ALIGNED_IN_PAIRS,PF_ALIGNED_BASES,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ERROR_RATE,PF_HQ_MEDIAN_MISMATCHES,PF_INDEL_RATE,PF_MISMATCH_RATE,PF_NOISE_READS,PF_READS,PF_READS_ALIGNED,READS_ALIGNED_IN_PAIRS,STRAND_BALANCE,TOTAL_READS,CODING_BASES,CORRECT_STRAND_READS,IGNORED_READS,INCORRECT_STRAND_READS,INTERGENIC_BASES,INTRONIC_BASES,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,PCT_CODING_BASES,PCT_CORRECT_STRAND_READS,PCT_INTERGENIC_BASES,PCT_INTRONIC_BASES,PCT_MRNA_BASES,PCT_RIBOSOMAL_BASES,PCT_USABLE_BASES,PCT_UTR_BASES,PF_ALIGNED_BASES,PF_BASES,RIBOSOMAL_BASES,UTR_BASES,fastq_total_reads,reads_aligned_sam,aligned,reads_with_mult_align,algn_seg_with_mult_algn,no_feature,ambiguous,too_low_aQual,not_aligned,alignment_not_unique,PERCENT_DUPLICATION,READ_PAIRS_EXAMINED,READ_PAIR_DUPLICATES,READ_PAIR_OPTICAL_DUPLICATES,UNMAPPED_READS,UNPAIRED_READS_EXAMINED,UNPAIRED_READ_DUPLICATES,mapped_reads_w_dups
lib12377_C95GDANXX,0,55.617632,0,0,1,1,0,542400274,484949408,475388805,8719643,0.003764,0,0.000037,0.003877,0,9752459,9752459,0,0.467927,9752459,233166574,33200,0,5575191,21479377,44615983,0.918045,0.130101,0.185188,0.659625,0.429879,0.00592,0.039601,0.082257,0.863456,0.014687,0.863443,0.433577,542400274,542408678,7966093,235172364,10452501,9752462,93.3%,1032817,10.6%,831182,156425,0,0,4085759,0.656579,0,0,0,0,9752459,6403257,0.933026
lib12378_C95GDANXX,0,55.624976,0,0,1,1,0,649251697,573460600,562228529,10309651,0.003913,0,0.000031,0.004031,0,11672117,11672117,0,0.461356,11672117,294296241,35611,0,6740467,27068376,62051290,0.84205,0.191149,0.252525,0.626728,0.453285,0.005255,0.041692,0.095574,0.852739,0.009996,0.852726,0.399453,649251697,649261223,6490119,259345726,12319491,11672120,94.7%,1362467,11.7%,1106151,195155,0,0,5442355,0.614617,0,0,0,0,11672117,7173883,0.947451
lib12379_C95GDANXX,0,55.627473,0,0,1,1,0,481023098,407303320,399259573,7322594,0.003562,0,0.000053,0.003673,0,8647538,8647538,0,0.451126,8647538,194397075,30233,0,4941607,29891237,39047838,0.989633,0.120368,0.133945,0.651004,0.404133,0.006081,0.062141,0.081177,0.845599,0.011085,0.845568,0.441466,481023098,481040690,5331924,212355414,9109951,8647541,94.9%,1324945,15.3%,615771,148801,0,0,6149807,0.62837,0,0,0,0,8647538,5433856,0.949241
lib12380_C95GDANXX,0,55.659805,0,0,1,1,0,48212503,34828192,34219261,625919,0.003211,0,0.000061,0.003213,0,866226,866226,0,0.370271,866226,11483861,3401,0,375590,8233956,5959291,1.441281,0.019474,0.017804,1.107335,0.238193,0.008974,0.170785,0.123605,0.681353,0.02426,0.681333,0.443161,48212503,48213970,1169626,21365892,1194584,866229,72.5%,240308,27.7%,68911,10430,0,0,1522774,0.599695,0,0,0,0,866226,519471,0.725128
lib12381_C95GDANXX,0,55.638003,0,0,1,1,0,131513967,109593212,107687299,1970021,0.003406,0,0.000029,0.003457,0,2363770,2363770,0,0.430015,2363770,43967331,7553,0,1037624,14540327,26857287,0.882267,0.180259,0.240278,0.698789,0.334317,0.007227,0.110561,0.204216,0.677,0.008223,0.676992,0.342683,131513967,131515442,1081459,45067571,4330159,2363773,54.6%,393750,16.7%,451329,29799,0,0,2384689,0.563026,0,0,0,0,2363770,1330865,0.545885
lib12382_C95GDANXX,0,55.640079,0,0,1,1,0,231313513,203656304,200153461,3660559,0.003587,0,0.000034,0.003679,0,4157375,4157375,0,0.465032,4157375,92693153,12134,0,2130741,15685364,31414331,0.908165,0.196791,0.263276,0.637179,0.400725,0.005662,0.06781,0.135808,0.787557,0.008825,0.787546,0.386831,231313513,231316674,2041349,89479336,5118141,4157378,81.2%,496817,12.0%,561005,54518,0,0,2582016,0.585498,0,0,0,0,4157375,2434134,0.812282
lib12383_C95GDANXX,0,55.619047,0,0,1,1,0,508746220,458768099,449524466,8248709,0.003024,0,0.000042,0.003151,0,9147156,9147156,0,0.480258,9147156,205468908,23559,0,5114813,20749173,52907061,0.953739,0.157811,0.219164,0.639155,0.403873,0.004585,0.040785,0.103995,0.842903,0.012318,0.842886,0.43903,508746220,508756100,6266535,223354629,9901295,9147159,92.4%,898448,9.8%,991945,132096,0,0,3598792,0.614083,0,0,0,0,9147156,5617113,0.923834
lib12384_C95GDANXX,0,55.64324,0,0,1,1,0,648895272,587668995,577537564,10561742,0.003026,0,0.000041,0.00314,0,11661937,11661937,0,0.485184,11661937,260186354,27279,0,6293452,25618562,78150848,0.903881,0.175313,0.226961,0.63799,0.400968,0.004316,0.03948,0.120437,0.830108,0.009975,0.830092,0.42914,648895272,648907955,6472713,278466906,12143045,11661940,96.0%,1100196,9.4%,1471736,159471,0,0,4414443,0.656742,0,0,0,0,11661937,7658888,0.960380
lib12385_C95GDANXX,0,55.629973,0,0,1,1,0,664745242,526506425,517215041,9466015,0.003104,0,0.000066,0.003081,0,11949787,11949787,0,0.440294,11949787,140594363,33189,0,5310804,83491374,89410401,2.392146,0.021706,0.00981,1.323297,0.211501,0.006211,0.125599,0.134503,0.722866,0.017032,0.722843,0.511364,664745242,664766331,11322182,339927070,13093902,11949790,91.3%,2483773,20.8%,1309717,157772,0,0,14318434,0.780713,0,0,0,0,11949787,9329357,0.912622
lib12386_C95GDANXX,0,55.634449,0,0,1,1,0,448286809,383461414,376796545,6893034,0.003078,0,0.000049,0.003163,0,8057880,8057880,0,0.455905,8057880,156050626,19288,0,4376932,26275354,31137737,1.347941,0.058192,0.051503,0.9066,0.348104,0.004387,0.058613,0.069459,0.856363,0.015565,0.856346,0.508258,448286809,448295711,6977589,227845575,8643957,8057883,93.2%,1164847,14.5%,467456,139272,0,0,5342589,0.730782,0,0,0,0,8057880,5888553,0.932198
