"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"lymp4",0.108547784960011,3.18016191239023,1.16854158729569,0.243732409870915,0.408841461718955,-6.12227652988097
"unma7",-0.0524776245660725,5.0665158553736,-1.03780240106042,0.3003926637384,0.473342618917318,-6.26460447143332
"neut3",-0.0723900659398705,7.03204681660737,-0.991258629466131,0.322544397044603,0.473342618917318,-6.31123949975759
"unma29",0.0573613994902741,3.8889645735025,0.991189770406797,0.322577944257096,0.473342618917318,-6.31130692207154
"unma19",0.0699460036063773,4.94889304501293,0.991008595322212,0.322666221273201,0.473342618917318,-6.31148429474356
"unma9",0.0526369841346337,4.08400030697371,0.980733371461585,0.327698736173528,0.473342618917318,-6.32149122917609
"unma4",-0.0633068878260629,2.93610500944729,-0.871688661169387,0.384237855777139,0.534056965907685,-6.42130819209047
"unma6",-0.0519651294649264,3.66054536958063,-0.860660938026271,0.390272398163308,0.534056965907685,-6.43075272170778
"unma18",0.0536286067768915,5.25074658161851,0.813358763429236,0.416807870181784,0.555743826909045,-6.4699078971524
"unma12",-0.0492176981342408,4.80521462124687,-0.762592352874367,0.446445466376928,0.57103045492274,-6.5094819176218
"unma30",-0.0549067376023709,4.61466633430351,-0.756242646769523,0.450235550996776,0.57103045492274,-6.51425320976581
"unma14",-0.0331906898427082,4.91921140907884,-0.647972127807171,0.517614167891254,0.640855636436791,-6.58949538591379
"eos4",0.0351336685409487,4.76105774804517,0.62835297525709,0.530362311844236,0.641368377113959,-6.60189245036192
"neut5",0.0422625863673543,7.55741453330392,0.588159083026984,0.556971231515561,0.658238728154754,-6.62610388345746
"neut6",-0.0293270228573243,7.03549076746125,-0.51440995352127,0.607432483623868,0.686554381698783,-6.66637783234821
"unma26",0.0435822429509123,1.39993065941207,0.492938971481653,0.622500429923939,0.686554381698783,-6.67709268683819
"unma1",-0.028681793079223,2.31077317583089,-0.477418866048143,0.633492602125263,0.686554381698783,-6.68455398076586
"unma25",0.0259780742808973,3.63546415832031,0.477067372460045,0.633742506183492,0.686554381698783,-6.68472020278037
"lymp1",-0.0178584018459502,2.84504647753828,-0.265123351336423,0.791138990657671,0.839576071718345,-6.76268176191242
"unma21",-0.00836675565802863,5.37590636660826,-0.158137088700667,0.874479986204078,0.909459185652241,-6.7851341481966
"eos5",-0.00551086270583966,2.91447716741921,-0.0792468079468411,0.936901473809137,0.952047804038618,-6.79442080513311
"unma28",-0.00316867657009199,5.72520674185721,-0.0601974551212084,0.952047804038618,0.952047804038618,-6.79573810560185
