"cellType","ensemblID","geneSet","symbol"
"lymphocyte","ENSG00000163161","lymp0","ERCC3"
"lymphocyte","ENSG00000130023","lymp0","ERMARD"
"lymphocyte","ENSG00000120699","lymp0","EXOSC8"
"lymphocyte","ENSG00000115042","lymp0","FAHD2A"
"lymphocyte","ENSG00000167483","lymp0","FAM129C"
"lymphocyte","ENSG00000204856","lymp0","FAM216A"
"lymphocyte","ENSG00000167695","lymp0","FAM57A"
"lymphocyte","ENSG00000255561","lymp0","FDXACB1"
"lymphocyte","ENSG00000136877","lymp0","FPGS"
"lymphocyte","ENSG00000162676","lymp0","GFI1"
"lymphocyte","ENSG00000178015","lymp0","GPR150"
"lymphocyte","ENSG00000158301","lymp0","GPRASP2"
"lymphocyte","ENSG00000167191","lymp0","GPRC5B"
"lymphocyte","ENSG00000170445","lymp0","HARS"
"lymphocyte","ENSG00000205581","lymp0","HMGN1"
"lymphocyte","ENSG00000139675","lymp0","HNRNPA1L2"
"lymphocyte","ENSG00000116983","lymp0","HPCAL4"
"lymphocyte","ENSG00000226742","lymp0","HSBP1L1"
"lymphocyte","ENSG00000138002","lymp0","IFT172"
"lymphocyte","ENSG00000254709","lymp0","IGLL5"
"lymphocyte","ENSG00000100385","lymp0","IL2RB"
"lymphocyte","ENSG00000184903","lymp0","IMMP2L"
"lymphocyte","ENSG00000204084","lymp0","INPP5B"
"lymphocyte","ENSG00000160051","lymp0","IQCC"
"lymphocyte","ENSG00000150477","lymp0","KIAA1328"
"lymphocyte","ENSG00000186231","lymp0","KLHL32"
"lymphocyte","ENSG00000050555","lymp0","LAMC3"
"lymphocyte","ENSG00000157978","lymp0","LDLRAP1"
"lymphocyte","ENSG00000239961","lymp0","LILRA4"
"lymphocyte","ENSG00000237489","lymp0","LINC00959"
"lymphocyte","ENSG00000126243","lymp0","LRFN3"
"lymphocyte","ENSG00000104814","lymp0","MAP4K1"
"lymphocyte","ENSG00000008838","lymp0","MED24"
"lymphocyte","ENSG00000133895","lymp0","MEN1"
"lymphocyte","ENSG00000133422","lymp0","MORC2"
"lymphocyte","ENSG00000139714","lymp0","MORN3"
"lymphocyte","ENSG00000066697","lymp0","MSANTD3"
"lymphocyte","ENSG00000110921","lymp0","MVK"
"lymphocyte","ENSG00000185818","lymp0","NAT8L"
"lymphocyte","ENSG00000020129","lymp0","NCDN"
"lymphocyte","ENSG00000185049","lymp0","NELFA"
"lymphocyte","ENSG00000170485","lymp0","NPAS2"
"lymphocyte","ENSG00000181396","lymp0","OGFOD3"
"lymphocyte","ENSG00000264522","lymp0","OTUD7B"
"lymphocyte","ENSG00000158006","lymp0","PAFAH2"
"lymphocyte","ENSG00000141456","lymp0","PELP1"
"lymphocyte","ENSG00000166821","lymp0","PEX11A"
"lymphocyte","ENSG00000139289","lymp0","PHLDA1"
"lymphocyte","ENSG00000117215","lymp0","PLA2G2D"
"lymphocyte","ENSG00000147535","lymp0","PLPP5"
"lymphocyte","ENSG00000085998","lymp0","POMGNT1"
"lymphocyte","ENSG00000177380","lymp0","PPFIA3"
"lymphocyte","ENSG00000168781","lymp0","PPIP5K1"
"lymphocyte","ENSG00000146733","lymp0","PSPH"
"lymphocyte","ENSG00000112655","lymp0","PTK7"
"lymphocyte","ENSG00000105426","lymp0","PTPRS"
"lymphocyte","ENSG00000090565","lymp0","RAB11FIP3"
"lymphocyte","ENSG00000172819","lymp0","RARG"
"lymphocyte","ENSG00000134453","lymp0","RBM17"
"lymphocyte","ENSG00000117016","lymp0","RIMS3"
"lymphocyte","ENSG00000108830","lymp0","RND2"
"lymphocyte","ENSG00000129197","lymp0","RPAIN"
"lymphocyte","ENSG00000103932","lymp0","RPAP1"
"lymphocyte","ENSG00000134419","lymp0","RPS15A"
"lymphocyte","ENSG00000198208","lymp0","RPS6KL1"
"lymphocyte","ENSG00000160214","lymp0","RRP1"
"lymphocyte","ENSG00000013392","lymp0","RWDD2A"
"lymphocyte","ENSG00000184640","lymp0","SEPT9"
"lymphocyte","ENSG00000099381","lymp0","SETD1A"
"lymphocyte","ENSG00000167037","lymp0","SGSM1"
"lymphocyte","ENSG00000215475","lymp0","SIAH3"
"lymphocyte","ENSG00000147955","lymp0","SIGMAR1"
"lymphocyte","ENSG00000181035","lymp0","SLC25A42"
"lymphocyte","ENSG00000105641","lymp0","SLC5A5"
"lymphocyte","ENSG00000066117","lymp0","SMARCD1"
"lymphocyte","ENSG00000070366","lymp0","SMG6"
"lymphocyte","ENSG00000136699","lymp0","SMPD4"
"lymphocyte","ENSG00000157734","lymp0","SNX22"
"lymphocyte","ENSG00000120896","lymp0","SORBS3"
"lymphocyte","ENSG00000177732","lymp0","SOX12"
"lymphocyte","ENSG00000070526","lymp0","ST6GALNAC1"
"lymphocyte","ENSG00000111728","lymp0","ST8SIA1"
"lymphocyte","ENSG00000138378","lymp0","STAT4"
"lymphocyte","ENSG00000136854","lymp0","STXBP1"
"lymphocyte","ENSG00000100242","lymp0","SUN2"
"lymphocyte","ENSG00000143502","lymp0","SUSD4"
"lymphocyte","ENSG00000159164","lymp0","SV2A"
"lymphocyte","ENSG00000172465","lymp0","TCEAL1"
"lymphocyte","ENSG00000071564","lymp0","TCF3"
"lymphocyte","ENSG00000079134","lymp0","THOC1"
"lymphocyte","ENSG00000179886","lymp0","TIGD5"
"lymphocyte","ENSG00000007350","lymp0","TKTL1"
"lymphocyte","ENSG00000151353","lymp0","TMEM18"
"lymphocyte","ENSG00000221926","lymp0","TRIM16"
